

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Ni- 58                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -2.82837-32 -2.8284E-32   -1.060681593994D-05 2825  6   5   277    6
 -9.26494-32 -9.2649E-32    4.317351218766D-06 2825  6   5   277    6
 -6.58237-32 -6.5824E-32   -4.557628938962D-06 2825  6   5   277    6
 -8.49286-32 -8.4929E-32   -4.709838617345D-06 2825  6   5   277    6
 -2.49299-32 -2.4930E-32   -4.011247537957D-06 2825  6   5   278    6
 -1.31261-32 -1.3126E-32    7.618409123958D-06 2825  6   5   278    6
 -8.58489-33 -8.5849E-33   -1.164837289599D-06 2825  6   5   279    6
 -1.80958-32 -1.8096E-32   -1.105228837638D-05 2825  6   5   279    6
 -2.53066-33 -2.5307E-33   -1.580615333556D-05 2825  6   5   280    6
 -7.98331-35 -7.9833E-35    1.252613264434D-06 2825  6   5   280    6
 -1.31805-33 -1.3181E-33   -3.793482796553D-05 2825  6   5   281    6
 -7.89086-34 -7.8909E-34   -5.069155960340D-06 2825  6   5   281    6
 -6.12193-25 -6.1219E-25    4.900415391817D-06 2825  6   5   281    6
 -2.00537-24 -2.0054E-24   -1.495983284880D-05 2825  6   5   281    6
 -1.42473-24 -1.4247E-24    2.105662125455D-05 2825  6   5   282    6
 -1.83825-24 -1.8383E-24   -2.719978240167D-05 2825  6   5   282    6
 -6.66005-24 -6.6601E-24   -7.507451145241D-06 2825  6   5   285    6
 -3.46878-24 -3.4688E-24   -5.765715899972D-06 2825  6   5   286    6
 -2.07667-24 -2.0767E-24   -1.444620474124D-05 2825  6   5   286    6
 -4.73017-29 -4.7302E-29   -6.342266768487D-06 2825  6   5   346    6
 -1.72192-30 -1.7219E-30    1.161494146085D-05 2825  6   5   346    6
 -9.97148-30 -9.9715E-30   -2.005720314328D-06 2825  6   5   346    6
 -5.95871-30 -5.9587E-30    1.678215587041D-06 2825  6   5   348    6
 -1.76825-30 -1.7683E-30   -2.827654460633D-05 2825  6   5   348    6
 -6.18886-30 -6.1889E-30   -6.463225860632D-06 2825  6   5   349    6
 -1.72596-30 -1.7260E-30   -2.317550812292D-05 2825  6   5   350    6
 -3.42117-30 -3.4212E-30   -8.768929927444D-06 2825  6   5   351    6
 -3.97439-30 -3.9744E-30   -2.516109390361D-06 2825  6   5   351    6
 -2.20589-30 -2.2059E-30   -4.533317617813D-06 2825  6   5   352    6
 -2.49352-30 -2.4935E-30    8.020789887495D-06 2825  6   5   352    6
 -1.54431-30 -1.5443E-30    6.475383828349D-06 2825  6   5   352    6
 -3.25286-30 -3.2529E-30   -1.229687106111D-05 2825  6   5   354    6
 -1.26115-30 -1.2612E-30   -3.964635451768D-05 2825  6   5   354    6
 -2.98179-30 -2.9818E-30   -3.353690232916D-06 2825  6   5   354    6
 -1.29997-30 -1.3000E-30   -2.307745563350D-05 2825  6   5   355    6
 -7.52395-31 -7.5240E-31   -6.645445543869D-06 2825  6   5   355    6
 -2.46463-30 -2.4646E-30    1.217221246200D-05 2825  6   5   355    6
 -1.75102-30 -1.7510E-30    1.142191408451D-05 2825  6   5   355    6
 -2.25924-30 -2.2592E-30    1.770506896132D-05 2825  6   5   356    6
